Area,Date,Assets,,,,,,,,
Europe,28/08/2020,6440237,,,,,,,,
Europe,09/04/2020,6458857,,,,,,,,
Europe,09/11/2020,6474612,,,,,,,,
Europe,18/09/2020,6502422,,,,,,,,
Europe,25/09/2020,6534815,,,,,,,,
Europe,10/02/2020,6705112,,,,,,,,
Europe,10/09/2020,6725697,,,,,,,,
Europe,16/10/2020,6743525,,,,,,,,
Europe,23/10/2020,6781825,,,,,,,,
Europe,30/10/2020,6775763,,,,,,,,
Europe,11/06/2020,6796905,,,,,,,,
Europe,13/11/2020,6833483,,,,,,,,
Europe,20/11/2020,6867814,,,,,,,,
Europe,27/11/2020,6883402,,,,,,,,
Europe,12/04/2020,6923120,,,,,,,,
Europe,12/11/2020,6949632,,,,,,,,
Europe,18/12/2020,7008896,,,,,,,,
Europe,25/12/2020,7014661,,,,,,,,
Europe,01/01/2021,6979324,,,,,,,,
Europe,01/08/2021,6984713,,,,,,,,
Europe,15/01/2021,7015645,,,,,,,,
Europe,22/01/2021,7024240,,,,,,,,
Europe,29/01/2021,7033256,,,,,,,,
Europe,02/05/2021,7054472,,,,,,,,
Europe,02/12/2021,7079135,,,,,,,,
Europe,19/02/2021,7101159,,,,,,,,
Europe,26/02/2021,7110487,,,,,,,,
Europe,03/05/2021,7120334,,,,,,,,
Europe,03/12/2021,7137484,,,,,,,,
Europe,19/03/2021,7162230,,,,,,,,
Europe,26/03/2021,7505021,,,,,,,,
Europe,04/02/2021,7494111,,,,,,,,
Europe,04/09/2021,7514267,,,,,,,,
Europe,16/04/2021,7522199,,,,,,,,
Europe,23/04/2021,7558280,,,,,,,,
Europe,30/04/2021,7567945,,,,,,,,
Europe,05/07/2021,7588768,,,,,,,,
Europe,14/05/2021,7615694,,,,,,,,
Europe,21/05/2021,7643170,,,,,,,,
Europe,28/05/2021,7657629,,,,,,,,
Europe,06/04/2021,7680137,,,,,,,,
Europe,06/11/2021,7700937,,,,,,,,
Europe,18/06/2021,7736536,,,,,,,,
Europe,25/06/2021,7877127,,,,,,,,
Europe,07/02/2021,7907807,,,,,,,,
Europe,07/09/2021,7926550,,,,,,,,
Europe,16/07/2021,7950657,,,,,,,,
